"City1";"Country1";"City2";"Country2";"Year";"k50";"k100";"k150";"k200";"H1";"H2";"Hboth"
"Sydals Municipality";"Denmark";"Zhukovsky";"Russia";"0";"0";"0";"0";"0";0;0;0
"Koge Municipality";"Denmark";"Espoo";"Finland";"0";"1";"1";"1";"1";0;0;0
"Vordingborg";"Denmark";"Hamina";"Finland";"0";"1";"1";"1";"1";0;0;0
"Birkerod";"Denmark";"Jakobstad";"Finland";"0";"1";"1";"1";"1";0;0;0
"Karkkila";"Finland";"Holstebro";"Denmark";"1997";"0";"1";"1";"1";0;0;0
"Hobro";"Denmark";"Kokemaki";"Finland";"1951";"0";"1";"1";"1";0;0;0
"Kuopio";"Finland";"Svendborg Municipality";"Denmark";"0";"0";"0";"0";"0";0;0;0
"Lahti";"Finland";"Randers Municipality";"Denmark";"1947";"0";"1";"1";"1";0;0;0
"Nordfyn";"Denmark";"Naantali";"Finland";"0";"1";"1";"1";"1";0;0;0
"Nokia";"Finland";"Horsens Municipality";"Denmark";"1962";"0";"0";"1";"1";0;0;0
"Sonderborg";"Denmark";"Pori";"Finland";"1952";"1";"1";"1";"1";0;0;0
"Naestved Municipality";"Denmark";"Rauma";"Finland";"1947";"1";"1";"1";"1";0;0;0
"Aalborg";"Denmark";"Riihimaki";"Finland";"1949";"0";"1";"1";"1";0;0;0
"Odder";"Denmark";"Salo";"Finland";"0";"1";"1";"1";"1";0;0;0
"Varde";"Denmark";"Salo";"Finland";"0";"0";"0";"1";"1";0;0;0
"Nyborg";"Denmark";"Salo";"Finland";"0";"1";"1";"1";"1";0;0;0
"Tampere";"Finland";"Odense Municipality";"Denmark";"1966";"0";"0";"1";"1";0;0;0
"Turku";"Finland";"Aarhus Municipality";"Denmark";"1946";"1";"1";"1";"1";0;0;0
"Hoje-Taastrup Municipality";"Denmark";"Angelholm Municipality";"Sweden";"1947";"1";"1";"1";"1";0;0;0
"Rudersdal Municipality";"Denmark";"Eslov Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Naestved Municipality";"Denmark";"Gavle Municipality";"Sweden";"1947";"1";"1";"1";"1";0;0;0
"Slagelse Municipality";"Denmark";"Gotland Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Ishoj Municipality";"Denmark";"Haninge Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Helsingor Municipality";"Denmark";"Helsingborg Municipality";"Sweden";"1995";"1";"1";"1";"1";0;0;0
"Nykobing-Rorvig";"Denmark";"Hassleholm Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Herlev Municipality";"Denmark";"Hoganas Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Stevns Municipality";"Denmark";"Hoor Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Lyngby-Taarbaek Municipality";"Denmark";"Huddinge Municipality";"Sweden";"1951";"1";"1";"1";"1";0;0;0
"Hillerod Municipality";"Denmark";"Karlskrona Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Koge Municipality";"Denmark";"Kristianstad Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Roskilde Municipality";"Denmark";"Linkoping Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Viborg Municipality";"Denmark";"Lund Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Odense Municipality";"Denmark";"Norrkoping Municipality";"Sweden";"1945";"1";"1";"1";"1";0;0;0
"Ikast-Brande Municipality";"Denmark";"Ornskoldsvik Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Gribskov Municipality";"Denmark";"Osby Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Bornholm Municipality";"Denmark";"Simrishamn Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Skovbo";"Denmark";"Sjobo Municipality";"Sweden";"2004";"0";"1";"1";"1";0;0;0
"Logstor";"Denmark";"Skelleftea Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Hvidovre Municipality";"Denmark";"Sollentuna Municipality";"Sweden";"1955";"1";"1";"1";"1";0;0;0
"Vallensbaek Municipality";"Denmark";"Staffanstorp Municipality";"Sweden";"1997";"1";"1";"1";"1";0;0;0
"Halsnaes Municipality";"Denmark";"Stenungsund Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Struer Municipality";"Denmark";"Sodertalje Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Bornholm Municipality";"Denmark";"Solvesborg Municipality";"Sweden";"1947";"1";"1";"1";"1";0;0;0
"Rodovre Municipality";"Denmark";"Taby Municipality";"Sweden";"0";"1";"1";"1";"1";0;0;0
"Haderslev Municipality";"Denmark";"Varberg Municipality";"Sweden";"1950";"1";"1";"1";"1";0;0;0
"Herning Municipality";"Denmark";"Vanersborg Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Tonder Municipality";"Denmark";"Vastervik Municipality";"Sweden";"1940";"0";"1";"1";"1";0;0;0
"Aabenraa Municipality";"Denmark";"Vaxjo Municipality";"Sweden";"0";"0";"1";"1";"1";0;0;0
"Alesund";"Norway";"Randers Municipality";"Denmark";"1947";"0";"0";"0";"0";0;0;0
"Silkeborg";"Denmark";"Arendal";"Norway";"1948";"1";"1";"1";"1";0;0;0
"Holbaek Municipality";"Denmark";"As";"Norway";"0";"1";"1";"1";"1";0;0;0
"Rudersdal Municipality";"Denmark";"Asker";"Norway";"0";"1";"1";"1";"1";0;0;0
"Lyngby-Taarbaek Municipality";"Denmark";"Askim";"Norway";"1951";"1";"1";"1";"1";0;0;0
"Frederikssund";"Denmark";"Aurskog-Holand";"Norway";"0";"0";"1";"1";"1";0;0;0
"Baerum";"Norway";"Frederiksberg Municipality";"Denmark";"1948";"1";"1";"1";"1";0;0;0
"Tonder Municipality";"Denmark";"Bamble";"Norway";"0";"0";"1";"1";"1";0;0;0
"Bodo";"Norway";"Svendborg Municipality";"Denmark";"0";"0";"0";"0";"0";0;0;0
"Drammen";"Norway";"Kolding Municipality";"Denmark";"0";"0";"1";"1";"1";0;0;0
"Bronderslev Municipality";"Denmark";"Eidsberg";"Norway";"0";"1";"1";"1";"1";0;0;0
"Soro";"Denmark";"Eidsvoll";"Norway";"0";"0";"1";"1";"1";0;0;0
"Nykobing Mors";"Denmark";"Flekkefjord";"Norway";"1950";"0";"0";"0";"1";0;0;0
"Lejre";"Denmark";"Flesberg";"Norway";"1970";"0";"1";"1";"1";0;0;0
"Fredrikstad";"Norway";"Aalborg";"Denmark";"1951";"1";"1";"1";"1";0;0;0
"Naestved Municipality";"Denmark";"Gjovik";"Norway";"1947";"0";"1";"1";"1";0;0;0
"Fano";"Denmark";"Gol";"Norway";"0";"0";"0";"0";"1";0;0;0
"Grindsted";"Denmark";"Grimstad";"Norway";"0";"0";"1";"1";"1";0;0;0
"Ringsted";"Denmark";"Halden";"Norway";"0";"1";"1";"1";"1";0;0;0
"Viborg Municipality";"Denmark";"Hamar";"Norway";"1947";"0";"0";"1";"1";0;0;0
"Ikast-Brande Municipality";"Denmark";"Hammerfest";"Norway";"0";"0";"0";"0";"0";0;0;0
"Helsingor Municipality";"Denmark";"Harstad";"Norway";"1953";"0";"0";"0";"0";0;0;0
"Sollerod";"Denmark";"Haugesund";"Norway";"0";"0";"0";"0";"0";0;0;0
"Hedensted";"Denmark";"Hol";"Norway";"0";"0";"0";"0";"0";0;0;0
"Herning Municipality";"Denmark";"Holmestrand";"Norway";"0";"0";"1";"1";"1";0;0;0
"Hillerod Municipality";"Denmark";"Horten";"Norway";"0";"1";"1";"1";"1";0;0;0
"Koge Municipality";"Denmark";"Kongsberg";"Norway";"0";"0";"1";"1";"1";0;0;0
"Skive";"Denmark";"Kongsvinger";"Norway";"0";"0";"0";"1";"1";0;0;0
"Hjorring";"Denmark";"Kristiansand";"Norway";"0";"1";"1";"1";"1";0;0;0
"Fredericia";"Denmark";"Kristiansund";"Norway";"1948";"0";"0";"0";"0";0;0;0
"Varde";"Denmark";"Levanger";"Norway";"0";"0";"0";"0";"0";0;0;0
"Mariagerfjord";"Denmark";"Lier";"Norway";"1954";"1";"1";"1";"1";0;0;0
"Horsholm";"Denmark";"Lillehammer";"Norway";"1950";"0";"0";"1";"1";0;0;0
"Kalundborg";"Denmark";"Lillesand";"Norway";"0";"1";"1";"1";"1";0;0;0
"Rodovre Municipality";"Denmark";"Lorenskog";"Norway";"0";"1";"1";"1";"1";0;0;0
"Frederikssund";"Denmark";"Lunner";"Norway";"0";"1";"1";"1";"1";0;0;0
"Naestved Municipality";"Denmark";"Melhus";"Norway";"0";"0";"0";"0";"0";0;0;0
"Langa";"Denmark";"Midtre Gauldal";"Norway";"0";"0";"0";"0";"0";0;0;0
